gh_username,company,twitter,location
Sylver11,@daaily,JustusVoigt,"Windhoek, Namibia"
DeclanRiedel,No Company,,"Walvis Bay, Namibia"
FearTheBeard95,@daaily,,"Windhoek, Namibia"
Eckhardt-D,Kaizen Media,eckhardtdreyer,Namibia
m-spangenberg,No Company,,"Walvis Bay, Namibia"
tnaffh,No Company,,"Windhoek, Namiabia"
rolandihms,@ihms-co,rolandihms,"Swakopmund, Namibia"
frans-nekongo,@absynth-tech,,"namibia,Africa"
Kacelo,Daaily Software Engineering Pty<br/>,KaceloVernon,"Windhoek, Namibia"
TulongaHishiko,@colabnam,,Namibia
Simaneka,Varde At Work,varde_daniel,"Windhoek, Namibia"
GeronimoKTT,@taxiconnect-na,,Namibia
geraldokandonga,Holoog,,"Windhoek, Namibia"
Moudjuu-averly,Loop Technologies,,Windhoek
usmansbk,Andela,Babakolo_Usman,"Kaduna, Nigeria"
Elishaokon13,No Company,defidevrel,Nigeria
elcharitas,@alphadayhq | @ngyn-rs,iamelcharitas,"Abuja, Nigeria"
profmcdan,@prunedge-dev-team  @zonetechpark,danielale9291,"Lagos, Nigeria"
boxpositron,@boxmarshall,boxpositron,Nigeria
nathfavour,No Company,nathfavour_,Nigeria
devhammed,@verbalate,devhammed,"Ibadan, Nigeria"
newtonjob,No Company,_newtonjob,"Lagos, Nigeria"
David-patrick-chuks,No Company,david_patrick01,"Lagos, Nigeria"
I-am-abdulazeez,Startup: Ibrid,dev_azeez,"Lagos, Nigeria"
PeaceOloruntoba,Vredester Inc,PeaceEdgeTech,"Lagos, Nigeria"
heyrapto,No Company,heyrapto,Nigeria
victoroab,No Company,,Lagos/Nigeria
damms005,Iq+,_damms005,Nigeria
Ayobami6,No Company,ayobamialaran,"Lagos, Nigeria"
Timonwa,No Company,timonwa_,"Lagos, Nigeria"
kalejaiyeoluwadara,Xown,,Nigeria
Joshuafolorunsho,No Company,joshfolorunsho,Lagos
AbdullahiAbdulkabir,No Company,abdullahiCap,Lagos
opeolluwa,@tranqbay,_opeolluwa,"Abeokuta, Nigeria"
kajugadaniels,Nexcode,,Kigali Rwanda
Krasivaya,No Company,,Rwanda
mbonikev,No Company,,"Kigali City, Rwanda"
FistonSphere,Marchal Real Estate,SanoFiston,Rwanda
TresorRw,@healthconnect-uk,TresorRw,"Kigali, Rwanda"
meyoramu,No Company,,"Kigali, Rwanda"
leandre000,Echosols  | Loxotech<br/>|<br/>Rca<br/><br/>,shema_Leandre,"Kigali,Rwanda"
derrick-nuby,@hisprwanda,derricknuby,Kigali-Rwanda
ub-victor,No Company,victoire371,"Kigali, Rwanda, DR Congo"
Aurumdev952,Atomiq,,Rwanda
niyomugaboetiene,No Company,Niyomugabo_250,Bugesera Rwanda
Ernor1,No Company,RUKHonore,Kigali Rwanda
iAmNsengi,Keyypress,,"Kigali, Rwanda"
rugema3,Remmittance Llc,alexrugema,"Kigali, Rwanda"
Munyangeyoelie,Ngeyo Company,,Rwanda
ProgrammerDATCH,@gokabisa,ProgrammerDATCH,Kigali Rwanda
hirwacedric123,@tech-volve,Quadrant_c,Kigali
coolbeatz71,@bestseller,coolbeatz71,"Congo, Rwanda"
Ronnie5562,Inversepay,AbimbolaRonald,"Kigali, Rwanda"
thepreakerebi,Allpeep,the_preakerebi,"Kigali, Rwanda"
traorecheikh,@teksi-inc @404-notfound-org @tyvaaservices <br/>,HanoWhisper,"dakar, senegal"
IbrahimaTall,National Agency Of Statistic<br/>And<br/>Demography<br/>,IbrahimaTall_SN,"Dakar, Senegal"
jmndao,Caytu,,Senegal
Mahmoud-Barry,No Company,sultane221,Dakar
exaucae,No Company,exaucae,"Dakar, Senegal"
lucien-loua,@ouestlabs,luu_loua,"Dakar, Senegal"
mamadou-wone,No Company,mamadu_wone,Dakar/Senegal
